npi,org_pac_id,org_name,tier,endpoint,vendor,evidence
1104878578,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1114149168,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1114272523,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1114313715,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1114330305,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1114423381,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1114541398,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1114587805,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1114964707,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1114980901,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1124011044,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1124019104,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
1124246327,1355676370,Geisinger-Hm Joint Venture Llc,brand-state,https://geisapi.geisinger.edu/fhir_prod/api/fhir/r4,Epic,1-token brand prefix matches 'Geisinger' in PA
